ID	chviCounts.csv	cabrCounts.csv	stluCounts.csv	arjaCounts.csv	lothCounts.csv	angeCounts.csv	glsoCounts.csv	noleCounts.csv	moblCounts.csv	mawaCounts.csv	ptpaCounts.csv	deroCounts.csv
sp|Q9UQ07|MOK_HUMAN	1.0	0	0	0	0	0	0	2.0	0	0	0	0
sp|Q9WVS4|MOK_MOUSE	1.0	0	0	0	0	0	0	0	0	0	0	0
sp|P37058|DHB3_HUMAN	2.0	1.0	0	0	0.0	0	0	4.0	0	0	0	0
sp|P27799|S6A12_CANLF	1.0	1.0	1.0	0	0.0	0	0	4.519	0	0.0	9.497	0
sp|Q9PVX8|STA31_XENLA	0.0	0.0	0	0	0.0	0.0	0.0	0	13.707	0	0	0
sp|Q7ZXK3|STA32_XENLA	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0
sp|P61635|STAT3_BOVIN	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	13.707	0	9.0	0
sp|Q6DV79|STAT3_CHICK	0.0	0.0	0	0	0.0	0.0	0.0	0	13.707	0	9.0	0
sp|P40763|STAT3_HUMAN	725.089	0.0	74.479	0.0	173.326	935.899	24.38	1176.245	7.221	21.962	300.469	727.0
sp|P42227|STAT3_MOUSE	725.089	0.0	74.479	0.0	173.326	935.899	698.196	1176.245	7.221	21.962	300.469	727.0
sp|Q19S50|STAT3_PIG	10.398	0.0	0	0.0	173.326	0	0.0	423.755	7.221	21.962	9.0	0
sp|P52631|STAT3_RAT	725.089	0.0	0	264.888	173.326	77.393	0.0	423.755	7.221	21.962	9.0	0
sp|P54219|VMAT1_HUMAN	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q01818|VMAT1_RAT	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q0VFZ6|CC173_HUMAN	2.0	0	1.0	0	0.0	0	0	3.0	2.0	0	0	1.0
sp|Q08DY0|ERIC5_BOVIN	0.0	0	2.0	0	0	0	0	0	0	0	0	0
sp|Q9H579|MROH8_HUMAN	1.0	0.0	3.0	0.0	0	0.0	0	0	0	0	0	0.0
sp|O42227|HDA1B_XENLA	0.0	0	0	0	0	0	0	0	2.0	0	0	0
sp|P09105|HBAT_HUMAN	0.0	0	3.0	0	0	0	0	0	0	0	0	0
sp|P06890|HBAT_PONPY	0.0	0	3.0	0	0	0	0	0	0	0	0	0
sp|Q05940|VMAT2_HUMAN	0.0	0	0	0	0	0	0	0	0	1.0	6.851	0.0
sp|Q8BRU6|VMAT2_MOUSE	0.0	0	0	0	0	0	0	0	0	0.0	9.661	0
sp|Q01827|VMAT2_RAT	0.0	0	0	0	0	0	0	0	0	0	6.851	0
sp|Q70Z44|5HT3D_HUMAN	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q8BFZ4|FXL21_MOUSE	1.0	0	0	0	0	0	0	0	4.0	0.0	7.0	2.0
sp|Q8WWT9|S13A3_HUMAN	0.0	1.0	0	0	0.0	0.0	0.0	0	14.0	0	278.0	0
sp|Q93033|IGSF2_HUMAN	0.0	0.0	4.0	0.0	6.0	0.0	0.0	4.0	2.0	0	0	2.0
sp|B7ZC32|KIF28_HUMAN	3.0	0	0	0	0	0	0	0	0	0.0	0	0
sp|Q7TQN3|WFKN2_MOUSE	1.0	0	4.0	2.0	0	0.0	1.0	3.0	0	0.0	0	2.0
sp|Q9UHG0|DCDC2_HUMAN	0.0	0	1.872	1.0	0.0	0	0	2.0	0	0.0	0	0.0
sp|Q8NCL9|APCDL_HUMAN	0.0	0	0	0	4.0	0	0	0	0	0	0	0
sp|Q62420|SH3G2_MOUSE	0.0	0.0	0	1.0	0.0	0.0	0.0	3.14	3.0	0.0	4.0	0.0
sp|O00398|P2Y10_HUMAN	1.0	1.0	8.0	1.0	0	0	0	0	2.0	0.0	3.456	2.0
sp|O18906|CD226_MACMU	1.0	1.0	0	0	0	0	0	0	0	0	0	0
sp|A6NNM8|TTL13_HUMAN	0.0	9.94	1.0	0.0	2.0	0.0	0.0	3.0	4.0	1.31	1.0	1.0
sp|Q9Y3P8|SIT1_HUMAN	1.0	0	0	1.0	0	0	0	3.0	0	0	3.0	0
sp|Q95730|CYB_ARTGW	1.0	0	0	0.0	0	1.0	0	0	3.0	0	0	0
sp|Q6Y8J6|CYB_CHIDO	0.0	3.0	1.457	5.0	11.0	1.0	0.0	4.0	20.364	0	1.666	0.0
sp|Q53AL7|CYB_PYGBL	0.0	0.0	0.964	0	0	1.0	0.0	0	2.0	0	1.284	1.0
sp|Q36201|CYB_UROBI	1.0	7.0	0.964	0	0.0	1.0	0	0	5.0	0	1.284	1.0
sp|F5GYI3|UBA1L_HUMAN	1.0	4.0	0	0.0	0.0	5.0	0.0	3.083	0	0	151.0	0
sp|A8MXK1|VSTM5_HUMAN	1.0	0	0	1.0	1.0	0.0	0	15.696	1.221	0	0	0
sp|P50407|5HT7R_CAVPO	1.0	0	0	2.0	0	0	0	0	0	0	0	0
sp|Q9ULG3|K1257_HUMAN	1.0	0	0	0	0	0	0	0	0	0.0	0	0
sp|Q95136|DRD1_BOVIN	0.0	1.0	0	0	0	0	0	0	2.0	0	0	0
sp|P42288|DRD1_DIDVI	0.0	0	0	0	0	0	0	0	2.0	0	0	0
sp|P21728|DRD1_HUMAN	0.0	0.0	0	0	0	0	0	0	2.0	0	0	0
sp|O77680|DRD1_MACMU	0.0	0.0	0	0	0	0	0	0	2.0	0	0	0
sp|Q61616|DRD1_MOUSE	0.0	0	0	0	0	0	0	0	2.0	0	0	0
sp|P50130|DRD1_PIG	0.0	0	0	0	0	0	0	0	2.0	0	0	0.0
sp|O02664|DRD1_RABIT	0.0	0	0	0	0	0	0	0	2.0	0	0	0
sp|Q8N431|RGF1C_HUMAN	1.0	1.0	2.0	0	0	0	0.0	88.395	5.378	3.0	3.0	0.0
sp|Q08DG5|HXB4_BOVIN	0.0	1.0	1.0	0	0	0.0	1.0	0	0	0	0	0
sp|P10284|HXB4_MOUSE	0.0	0	1.0	0.0	0	0.0	0	0	1.0	1.0	2.0	0
sp|Q91XZ2|PCDB8_MOUSE	0.0	0	0	0	0	1.0	1.0	0	2.858	0	0	0
sp|Q4G0P3|HYDIN_HUMAN	0.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	6.0	0.0	0	0.0
sp|O75679|RFPL3_HUMAN	1.0	0	0	1.0	0	0	0	0	0	0	0	0
sp|Q86Y46|K2C73_HUMAN	0.0	0	0	2.0	0	0	0	0.0	0	0	0	0
sp|Q4R899|LMTD1_MACFA	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q9D4C1|LMTD1_MOUSE	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q9BYT9|ANO3_HUMAN	0.0	0.0	4.0	0.0	0	0	0	0	2.0	0	2.0	0
sp|Q99PN0|SC5A5_MOUSE	0.0	1.0	0	0	0	0	0	0	0	0	0	0
sp|Q86UW8|HPLN4_HUMAN	1.0	0	0	0.0	0.0	0	1.0	0	6.746	0.0	0	0
sp|Q645N4|PAX3A_XENLA	0.0	0	0	2.0	0	0	0.0	0	0	0	0	0
sp|P23760|PAX3_HUMAN	2.0	1.0	4.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0	1.0
sp|P24610|PAX3_MOUSE	0.0	1.0	4.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0	1.0
sp|Q28DP6|PAX3_XENTR	3.0	0	0	2.0	0	1.0	0.0	1.0	0	0	0	2.0
sp|O43603|GALR2_HUMAN	1.0	0	2.0	0.0	0	0	0	0	0	0	0	0
sp|Q5VVM6|CCD30_HUMAN	2.0	0.0	1.554	2.0	1.0	0	0	1.0	11.0	0	2.0	0.0
sp|Q7RTV2|GSTA5_HUMAN	1.0	0	0	0.0	0	0	145.192	0	0	0	0	2.879
sp|Q15858|SCN9A_HUMAN	0.0	0	0	1.0	0	0	0	0	0	0	0	0
sp|O60542|PSPN_HUMAN	1.0	0	0	0	0	0	2.0	0	0	0	0	0
sp|Q8BHH8|CLRN3_MOUSE	0.0	1.0	0	0	0	0	0	0	1.0	0	0	0
sp|Q7M6Z4|KIF27_MOUSE	1.0	3.0	0	0.0	0	0	2.0	0	3.378	0	5.0	0
sp|Q7M6Z5|KIF27_RAT	1.0	0.0	0	0	0.0	0.0	1.0	0	10.0	0	0	1.439
sp|Q8IZ57|NRSN1_HUMAN	1.0	43.112	0.0	0.0	638.936	60.95	0.0	28.0	0	0	0	0.0
sp|Q16288|NTRK3_HUMAN	1.0	0	0	0.0	0.0	0	0	0	0	0.0	10.0	1.0
sp|Q5IFJ9|NTRK3_MACFA	1.0	0	0	0.0	1.0	0	0	0	3.0	0.0	10.0	1.0
sp|Q6VNS1|NTRK3_MOUSE	1.0	1.0	0	0.0	1.0	0	1.0	0	3.0	0.0	10.0	0
sp|Q5IS37|NTRK3_PANTR	1.0	0	0	0.0	1.0	0	0	0	0	0.0	10.0	0
sp|P24786|NTRK3_PIG	1.0	1.0	0	0	0	0.0	1.0	0	0	0.0	18.0	2.0
sp|Q03351|NTRK3_RAT	1.0	1.0	0	0.0	0.0	0	1.0	0	3.0	0.0	10.0	0
sp|Q5IS82|NTRK3_SAIBB	1.0	0	0	0.0	1.0	0	0	0	3.0	0.0	10.0	0
sp|Q06VW1|OOEP_FELCA	1.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q9ESM3|HPLN2_MOUSE	1.0	0	0	0	1.0	1.71	2.0	0	2.0	0.0	0	0
sp|Q496F6|CLM2_HUMAN	1.0	0	1.0	0	0	0	0	0	0	0	0	0.0
sp|Q8IZD9|DOCK3_HUMAN	0.0	1.0	3.0	0.0	0.0	0	0	3.0	0	0	0	4.0
sp|Q5TEJ8|THMS2_HUMAN	1.0	0.0	3.0	1.0	1.0	1.0	2.0	0	3.0	0.0	4.0	0.0
sp|P82708|RET5_BOVIN	2.0	0	0	0.0	0	0	0	3.0	0	0	0	0.0
sp|A8MY62|BLML_HUMAN	1.0	0	0	1.0	0	0	0	2.0	0	0	0	0
sp|Q14CN4|K2C72_HUMAN	1.0	0.0	2.0	0	0	0	0.0	1.0	1.0	0	0	0
sp|P84088|CPLX2_BOVIN	1.0	1.018	3.0	0	0	0	0	0	57.0	0	4.0	0.0
sp|Q6PUV4|CPLX2_HUMAN	1.0	1.018	3.0	0	0	0	0	0	57.0	0	4.0	0.0
sp|P84086|CPLX2_MOUSE	1.0	1.018	3.0	0	0	0	0	0	57.0	0	4.0	0.0
sp|P84087|CPLX2_RAT	1.0	1.018	3.0	0	0	0	0	0	57.0	0	4.0	0.0
sp|Q05AY2|EI3EA_XENLA	0.0	0	0	0	0	0	0	2.0	0	0	84.714	0
sp|Q3T102|EIF3E_BOVIN	159.341	7.298	16.169	532.479	3.296	138.0	9.76	21.94	4.0	133.566	3.002	2.413
sp|P60228|EIF3E_HUMAN	159.341	2275.702	2753.799	532.479	2592.532	138.0	2316.135	3597.797	4.0	1614.434	3.002	2.413
sp|Q4R6G8|EIF3E_MACFA	159.341	2275.702	2753.799	532.479	2592.532	138.0	2316.135	3597.797	4.0	1614.434	3.002	2.413
sp|P60229|EIF3E_MOUSE	159.341	2275.702	2753.799	532.479	2592.532	138.0	2316.135	3597.797	4.0	1614.434	3.002	2.413
sp|Q5R8K9|EIF3E_PONAB	159.341	2275.702	2753.799	532.479	2592.532	138.0	2316.135	3597.797	4.0	1614.434	3.002	2.413
sp|Q641X8|EIF3E_RAT	159.341	2275.702	2753.799	532.479	2592.532	138.0	2316.135	3597.797	4.0	1614.434	3.002	2.413
sp|Q6P7L9|EIF3E_XENTR	0.0	0	0	0	0	0	0	2.0	0	0	84.714	0
sp|O75800|ZMY10_HUMAN	0.0	1.0	1.0	0.0	0.0	0	0	8.0	1.227	0.0	0	2.276
sp|O15090|ZN536_HUMAN	0.0	0	1.0	1.0	0	0.0	0.0	0	2.0	0.0	0	1.0
sp|Q5U5X8|F222A_HUMAN	0.0	1.0	2.0	3.0	1.0	0	0	0	0.0	3.0	4.0	2.0
sp|Q8SPP9|TSHR_PIG	0.0	0	5.0	2.0	0	0	0	0	0	0	2.0	0
sp|Q01959|SC6A3_HUMAN	0.0	0.0	0	0	0	0	0	0	0	0	0	0
sp|Q9GJT6|SC6A3_MACFA	0.0	0.0	0	0	0	0	0	0	0	0	0	0
sp|A2VCK2|DCD2B_HUMAN	1.0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.0
sp|Q8BHM9|TM11F_MOUSE	0.0	0	28.27	0	0.0	0.0	1.0	6.0	3.61	3.0	4.0	0.0
sp|Q54GX7|ACT10_DICDI	6.147	7.446	374.695	0	0.0	0.0	0.0	0	1.853	0	0	0.0
sp|P30170|ACT10_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P53496|ACT11_ARATH	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P30171|ACT11_SOLTU	0.0	0	0	0	0	0	0.0	0	1.0	0.0	0	0
sp|P53497|ACT12_ARATH	0.0	0	0	0	0	0	0.0	1.0	1.0	0.0	0	0
sp|P02578|ACT1_ACACA	6.147	7.446	374.695	2.0	0.0	0.0	0.0	0	0.0	0	0	0.0
sp|P0DM41|ACT1_CAEEL	895.29	7.446	0	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P07830|ACT1_DICDI	6.147	7.446	374.695	0	0.0	0.0	0.0	0	1.853	0	0	0.0
sp|P68556|ACT1_DIPDE	0.0	7.446	0	2.0	1.0	0.0	0.0	1.0	4.0	0	0	0.0
sp|P10987|ACT1_DROME	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P30162|ACT1_ONCVO	6.147	7.446	374.695	2.0	1.0	0.0	0.0	1.0	0.0	0	3.0	0.0
sp|A2XLF2|ACT1_ORYSI	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|Q10DV7|ACT1_ORYSJ	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|O18499|ACT1_SACKO	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	0	0.0
sp|Q96482|ACT1_SOLLC	0.0	0	0	0	0	0	0.0	0	1.0	0.0	0	0
sp|P93587|ACT1_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0	0	0
sp|P53504|ACT1_SORBI	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|Q05214|ACT1_TOBAC	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|Q553U6|ACT22_DICDI	6.147	7.446	374.695	0	0.0	0.0	0.0	0	1.853	0	0	0.0
sp|Q55EU6|ACT23_DICDI	6.147	7.446	374.695	0	0.0	0	0.0	0	1.853	0	0	0.0
sp|P10984|ACT2_CAEEL	895.29	7.446	374.695	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P02572|ACT2_DROME	2.2	7.446	374.695	2.0	1.0	0.0	38.115	87.859	4.0	1601.354	3.0	0.0
sp|P30163|ACT2_ONCVO	895.29	7.446	374.695	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	2061.143
sp|O18500|ACT2_SACKO	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P53471|ACT2_SCHMA	2.2	7.446	0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
sp|Q25010|ACT3A_HELAM	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P84184|ACT3B_HELAM	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P18602|ACT3_ARTSX	895.29	2097.565	0	862.366	1.0	0	38.115	11.175	2.0	1601.354	0	8.726
sp|P45886|ACT3_BACDO	6.147	0.0	0	2.0	0.0	0.0	0.0	1.0	0	1.001	0.0	0.0
sp|P04829|ACT3_BOMMO	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P0DM42|ACT3_CAEEL	895.29	7.446	0	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P07829|ACT3_DICDI	6.147	7.446	374.695	0	0.0	0	0.0	0	0	0	0	0
sp|P41340|ACT3_LIMPO	895.29	7.446	374.695	9.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P46258|ACT3_PEA	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|Q96484|ACT3_SOLLC	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|P30167|ACT3_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P53494|ACT4_ARATH	0.0	0	0	0	0	0	0.0	1.0	1.0	0.0	0	0
sp|P18603|ACT4_ARTSX	0.0	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P84183|ACT4_BOMMO	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P10986|ACT4_CAEEL	895.29	7.446	0	2.0	1.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P93585|ACT4_SOLTU	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|P84185|ACT5C_ANOGA	2.2	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	5.082
sp|P53478|ACT5_CHICK	191.697	7.446	374.695	2.393	861.337	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P81228|ACT5_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P53505|ACT5_XENLA	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	0.0	0.0	494.795	141.996
sp|P81229|ACT8_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P53506|ACT8_XENLA	0.0	7.446	374.695	0.0	1.581	0.0	38.115	765.645	0.0	0.0	494.795	141.996
sp|P93584|ACT9_SOLTU	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0
sp|P41339|ACTA_LIMPO	895.29	7.446	374.695	862.366	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P02576|ACTA_PHYPO	6.147	7.446	374.695	0	0.0	0.0	0.0	0	1.853	0	0	0.0
sp|Q7ZVI7|ACTB1_DANRE	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P68142|ACTB1_TAKRU	191.697	7.446	374.695	0.0	1.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|Q7ZVF9|ACTB2_DANRE	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|P53485|ACTB2_TAKRU	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|P53486|ACTB3_TAKRU	191.697	7.446	374.695	2.393	861.337	0.0	38.115	11.175	0.0	1601.354	3.0	0.0
sp|P60712|ACTB_BOVIN	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P84336|ACTB_CAMDR	0.0	3.0	0.0	2.393	1.581	0.0	38.115	2.048	0.0	0.0	494.795	141.996
sp|O18840|ACTB_CANLF	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q71FK5|ACTB_CAVPO	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P60706|ACTB_CHICK	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q76N69|ACTB_CHLAE	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P48975|ACTB_CRIGR	2602.934	7.446	374.695	2.393	1.581	0.0	430.0	2.048	931.21	0.0	57.284	141.996
sp|P83751|ACTB_CTEID	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|P83750|ACTB_CYPCA	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|P60708|ACTB_HORSE	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P60709|ACTB_HUMAN	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q4R561|ACTB_MACFA	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q711N9|ACTB_MESAU	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P60710|ACTB_MOUSE	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P68143|ACTB_OREMO	191.697	7.446	374.695	0.0	1.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|Q5R1X3|ACTB_PANTR	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q6QAQ1|ACTB_PIG	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q5R6G0|ACTB_PONAB	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P29751|ACTB_RABIT	0.0	3.0	0.0	0.0	1.581	0.0	38.115	2.048	0.0	0.0	494.795	141.996
sp|P60711|ACTB_RAT	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|O42161|ACTB_SALSA	191.697	7.446	374.695	0.0	0.0	0.0	38.115	11.175	0.0	1601.354	4.0	0.0
sp|P60713|ACTB_SHEEP	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|Q91ZK5|ACTB_SIGHI	2602.934	7.446	374.695	2.393	861.337	0.0	38.115	21.115	931.21	1077.113	57.284	0.0
sp|Q4L0Y2|ACTB_SPECI	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P60707|ACTB_TRIVU	0.0	7.446	374.695	2.393	1.581	0.0	38.115	2.048	931.21	0.0	57.284	141.996
sp|P15475|ACTB_XENBO	191.697	7.446	374.695	2.393	1.581	0.0	0.0	2.048	0.0	0.0	804.404	141.996
sp|O93400|ACTB_XENLA	191.697	7.446	374.695	2.393	861.337	0.0	38.115	11.175	0.0	1601.354	804.404	1.576
sp|Q6NVA9|ACTB_XENTR	2602.934	7.446	374.695	2.393	861.337	0.0	38.115	21.115	931.21	1077.113	57.284	1.576
sp|Q964E3|ACTC_BIOAL	895.29	7.446	374.695	2.0	0.0	2.1	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P92179|ACTC_BIOGL	895.29	7.446	374.695	2.0	0.0	2.1	38.115	11.175	4.0	1601.354	3.0	0.0
sp|Q964E1|ACTC_BIOOB	895.29	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|Q964E2|ACTC_BIOPF	895.29	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|Q964E0|ACTC_BIOTE	895.29	7.446	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P53461|ACTC_HALRO	895.29	2097.565	374.695	862.366	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
sp|P12716|ACTC_PISOC	895.29	2097.565	374.695	2.0	1.0	0.0	38.115	11.175	4.0	1601.354	3.0	0.0
