ID	chviCounts_noRep.csv	cabrCounts_noRep.csv	stluCounts_noRep.csv	arjaCounts_noRep.csv	lothCounts_noRep.csv	angeCounts_noRep.csv	glsoCounts_noRep.csv	noleCounts_noRep.csv	moblCounts_noRep.csv	mawaCounts_noRep.csv	ptpaCounts_noRep.csv	deroCounts_noRep.csv
ACTA	14.588	1874.106	4.649	226.568	1.866	54.052	38.115	5.285	1.599	8.847	16.451	4
ACTB1	191.697	7.446	374.695	0	1	10.82	38.115	11.175	0	1601.354	4	5.082
ACTB2	191.697	7.446	374.695	0	1	10.82	38.115	11.175	0	1601.354	4	8.726
ACTB3	191.697	7.446	374.695	2.393	861.337	2.1	38.115	11.175	0	1601.354	3	5.082
ACTB	2602.934	7.446	374.695	2.393	1.581	1123.636	38.115	2.048	931.21	1077.113	57.284	141.996
ACTC	728.71	1874.106	4.649	226.568	484.239	28.328	38.115	1829.568	1.599	8.847	10.729	169.922
ACTG	2224.341	89.545	374.695	2.393	1.581	1018.604	38.115	2.048	79.221	6939.991	494.795	141.996
ACTY	177.511	54.737	374.695	16.426	71	16.725	38.115	93.356	180.077	354.859	9.708	464.683
ACT	895.29	7.446	374.695	2	3110.547	2	38.115	11.175	4	1601.354	2	2.767
SCOT2	0	0	0	0	0	0	0	0	5	0	0	0
MYH13	1	0	20.331	2.503	0	0	2	17.232	2.364	1	16.698	1
MYH1B	0	0	1	2.503	2.017	0	3.013	0	1	0	15	0
MYH1	1443.721	1.168	27.745	706	206.719	123.075	105.563	23.264	2.508	107	1172.627	15696.523
MYH2	1443.721	2	8.669	2.276	9.062	1	69	1.998	2.508	107	237.548	0
MYH3	1	1	21.661	3	2.201	1.131	44.823	3	21.71	0	11.89	3
MYH4	218	34835.489	51.366	3.018	0	61757.413	0	57.962	3.388	24827.259	1172.627	32
MYH6	1	1	3	0	0	0	0	2	247.477	2	0	5
MYH7	0	0	3	0	0	0	1	0	0	0	4	1
MYH8	1.217	18.945	0	10	10	1.417	747	0	0	1	1.333	2
MYSS	14.885	2	2	23.724	0	0	92	2	0	3	2	4
KCND3	0	1	3	0	0	0	0	1	1	0	0	0
DZIP3	0	0	1	0	2	0	0	1	4.805	1	2	0
TRPV1	0	0	0	0	0	0	0	0	0	0	0	0
DAZL	0	0	9	0	0	0	0	0	0	49.989	0	0
G3P2	0	0	0	0	0	0	0	0	1	0	0	0
G3P	3	46404.328	89158.207	61229.104	28851.173	4	6	7.693	14.052	1.393	53.649	39239.232
SSUH2	1	0	0	0	0	0	0	0	1	1	0	0
EDAR	0	0	0	0	1	1	0	0	2	0	0	0
GSTA1	0	0	1	0	52.773	7.706	0	0	2	0	473.609	0
CARL3	0	0	1	1	0	3	0	2	3	0	0	0
AGRB1	0	15	3	0	0	0	0	3	3	1	1	2
OSCP1	0	1	4	0	0	2	0	9.707	47.205	2	5	0
ELAV3	1	2	5	0	0	0	0	3	4	1	0	0
C2CD6	0	0	0	0	0	0	0	3	0	0	0	0
TRPC4	0	1	2	0	0	0	1	0	2	0	0	0
STRCL	0	0	0	0	0	0	0	2	0	0	0	0
DAB1	0	0	3	2	0	0	0	5	0	0	6	1
CCR6	0	0	4	3	1	0	0	7	0	0	0	1
GBRT	0	0	1	0	0	0	0	4	14.033	0	0	0
SH24B	0	0	0	0	0	0	0	0	1	0	0	1
RUFY4	2	0	0	1	2	0	0	2.513	2	2	3	16
F10A1	34.023	1299.48	483.489	815.06	313.36	1028.561	656	2129.346	38.815	0	81.671	22.529
ST134	0	0	1	0	0	0	0	0	0	0	0	0
ENPP6	0	64	0	0	3.424	31	1	13	1.215	0	105.114	4
GPR52	1	1	2	1	0	0	0	0	1	0	0	0
WD82A	0	0	0	0	0	0	0	0	0	0	0	0
WD82B	0	0	0	0	0	0	0	0	0	0	0	0
WDR82	1291.974	0	217.96	11	1128.075	842	879.705	719.576	93.724	542	26.613	178.992
CAMKV	0	1	5	0	13	0	0	0	6	0	0	52.196
TRPA1	0	0	0	0	0	0	0	0	0	0	0	0
H90B3	0	0	0	3.066	0	0	0	0	0	0	0	0
KCNH4	0	0	0	0	0	0	0	1	1	1	0	0
CD180	0	0	0	1	0	0	0	0	0	0	0	0
ACT7	0	0	0	0	0	0	0	0	0	0	0	0
CLCKA	0	0	2.094	0	0	0	12	0	0	1	0	1
CA189	0	4	11	0	1	0	0	1	0	6	0	2
FND10	0	5	1.417	0	15.066	0	1	17	184	0	13.636	87
DC1I1	0	6	2	0	0	1	0	0	5	1	118.311	2
EST5A	0	0	0	0	0	0	1	3	0	0	0	0
PTH2R	0	0	0	0	0	1	1	0	12	0	0	0
CETN4	0	0	0	0	0	0	0	135.279	0	0	2	0
K1H2	0	4.637	0	0	1	0	0	22.716	4	0	0	4.41
OR6B1	0	0	0	0	0	0	0	0	0	0	0	0
NRG3	0	1	0	1	0	0	0	0	0	0	7	0
EPHA5	0	0	0	0	0	0	0	1	2	0	0	0
CXA10	0	0	0	0	0	0	0	0	0	1	0	0
HAND1	0	0	0	0	0	0	0	0	0	0	0	0
CCD68	0	0	3	0	0	1	0	1	0	3.57	3.909	0
FIGN	0	0	1	0	0	0	1	0	3	0	5.909	0
TM236	0	0	1	0	0	1	0	1	0	0	4	0
SPDYC	0	0	0.999	0	0	0	1	2	0	1	0	1
TRPC6	0	0	2	0	1	0	0	7	6.321	0	0	0
R10B1	0	0	0	0	0	0	0	0	2	0	3	0
R10B2	0	0	0	0	0	0	0	0	2	0	3	0
KRA32	0	0	0	2.084	0	0	0	0	8.434	0	5	0
KRA33	1697.047	669.638	455.944	2726.916	1933.338	1336	140.569	1891.652	3056.181	396.394	10	198.47
KCNT1	1	0	0	2	0	0	0	2	1	0	0	1
KCNT2	1	1	5	0	1	0	0	0	0	0	0	0
SIDT1	0	1	0	4	0	0	0	5	0	3	7	0
RSH4A	0	0	0	1	0	0	0	2.571	4.598	0	5	0
TY3H	0	0	0	0	0	0	0	0	2	0	3	0
ACHB4	0	0	1	0	0	0	0	0	0	1	0	0
SLAP2	0	0	2	0	0	0	0	2	2.041	0	0	0
DSCAM	0	1	1	0	0	0	0	0	1	0	4	0
DKK1	0	0	0	0	0	0	0	0	0	0	0	0
5HT3A	0	0	0	0	0	0	0	0	0	0	0	0
VWA2	0	0	1.416	9	2	0	0	1	2	0	0	0
ADDB	0	0	61.545	0	0	0	0	0	0	3	0	0
SOX11	0	0	0	0	0	0	0	0	0	0	0	0
HEPH	0	0	1	1	0	0	0	0	1	0	0	0
PABP1	828.555	516	3.589	10478.545	3.155	307.361	10.605	30.079	24499.647	8043.192	21.99	1045.972
PABPA	0	0	0	0	0	0	0	0	13.974	0	0	0
PABPB	4	3.529	2	0	0	221.263	465.364	0	10.039	0	1	0
TEKT3	0	0	2	1	0	0	0	0	3	0	0	8
PCDG7	0	0	4	0	257.585	0	0	1	1	2	0	0
MROH7	0	0	20.904	8	0	0	0	1	6	0	5	0
AGRG3	0	1	7	0	0	0	0	0	0	0	7	1
DSCL1	0	1	2	0	0	0	0	0	0	3	0	0
F124B	0	0	141.796	0	1	0	0	0	4	0	0	0
BBOF1	0	0	1.353	1	1.605	0	0	0	3	0	3	7
RL402	2	0	4	0	0	0	0	44.012	2.006	0	0	3
LIS11	0	0	0	0	0	0	0	0	0	0	0	0
LIS1	2104.893	510.849	1336.353	11.44	162.446	3.607	1163	6.731	1415.528	654.038	168.774	999
ACHA9	0	0	0	1	0	0	0	0	1	2	0	1
SPA3K	0	0	0	0	0	0	0	0	0	0	0	0
PD5BB	0	0	5.156	0	0	2	2	1	1	0	0	0
SHSA6	0	2	0	0	0	0	0	0	0	0	0	0
GBRA5	0	0	0	0	0	0	0	0	0	0	0	0
TGR3L	0	0	0	1	0	0	1	0	0	1	14	0
PTOV1	104.674	28	4	401.37	158	0	272	99.758	1.308	132	399.138	14.394
PTVO1	0	0	4	0	0	0	0	0	2	0	3	0
UNC5A	0	0	1	0	0	0	0	1	0	0	2	0
CSPG5	0	6	4	0	15.697	1	1	12.421	3.306	0	4.006	1
CNTD2	0	0	2.768	0	0	0	1	0	22.668	2	0	1
KCC1B	0	0	0	0	0	1	0	0	3.898	2	0	0
SYT14	0	0	0	0	0	0	0	0	0	0	20.165	0
GREB1	0	1	1	4	0	1	2	0	2	0	3	2
LV460	0	0	0	0	0	0	0	0	0	0	234.937	0
A3LT2	0	1	0	1	0	0	0	0	0	0	6	0
SEZ6	1	1	0	0	0	0	0	6.219	1.178	0	0	1
LR2BP	1	0	0	0	0	0	0	2	1	1	0	0
NR1H4	1	0	1	0	0	0	0	0	0	0	0	0
K1C40	1	0	0	0	0	0	0	1	3	0	0	0
CCNO	0	0	2	0	1	0	0	0	0	1	4	0
AT12A	0	0	1	0	1	3	0	1	2	8.427	4	20.475
ARCA	0	0	0	0	0	0	0	0	0	0	0	0
MLRS	2729.427	453.061	5201.697	16841.751	11830.615	14317.108	19694.407	10421.413	30.318	7783.02	57.015	15687.584
MLRT	0	14.539	1	24.616	0	450.423	9.855	6.233	30.318	0	0	3859.042
NALP5	0	1	7.894	0	0	2	0	0	0	0	0	0
GPR61	0	1	0	0	0	1	0	0	1	0	0	0
MLP3C	0	12	3	0	0	0	0	0	0	0	0	0
EI3GA	0	0	0	0	0	36	0	510.413	1	0	0	8.569
EI3GB	0	0	0	0	0	36	0	510.413	1	0	0	8.569
EIF3G	2907.061	5.238	1676	288.519	1754.593	36	544	61.456	175.632	2	2301.481	1672.833
ALBU	0	0	0	0	0	0	0	0	1	0	0	0
H1T	0	0	0	0	0	0	0	0	0	0	0	0
ICAM5	0	0	0	1	0	0	0	2	8	0	0	1
F135B	0	0	0	0	0	0	0	0	0	0	0	0
TC1D3	0	1	0	2	1	0	0	0	44.919	5	0	0
TTC34	0	0	3	0	1	0	0	0	0	1	12.609	0
LEPA	0	0	0	0	0	0	0	0	0	0	0	0
PRS39	0	0	0	0	0	0	0	0	0	0	0	0
SPRE3	0	0	0	1	0	0	0	5	5.343	0	6	1
TMM8B	0	2	3	0	3	3	1	2	4	1	6.995	1
ALMM	0	0	0	0	0	0	0	0	0	0	0	0
ALST	0	0	0	0	0	0	0	0	0	0	0	0
SCN1A	0	0	0	1	0	0	0	1	2	0	0	1
SLIK3	0	1	1	0	0	0	1	0	0	0	2	0
CAD17	0	0	2	0	0	2	0	0	2	0	0	0
TNF15	1	0	2	1	1	0	0	0	1	0	10	0
TRPM6	0	0	0	1	0	0	1	0	1	0	0	1
GRAK	0	0	0	0	0	0	0	0	0	0	0	0
CXA9	0	0	0	0	0	0	0	0	4.385	0	9	0
UBIQ1	759.018	0	4	0	0	1	0	0	4	0	0	3
UBIQP	36.049	29.161	3877.822	10.929	83.502	1.123	44.233	1.647	177.898	1.017	4.001	1.995
PRTG	1	0	0	0	0	0	0	0	0	0	0	0
GPIX	0	0	2	8	2	0	0	0	0	0	0	0
FRS1L	0	4	0	0	0	0	0	0	0	0	0	0
RO22	0	0	0	0	0	0	0	0	0	0	0	0
MOXD2	0	0	0	0	0	0	0	1	1	0	3	0
TBX18	0	0	2	0	1	0	0	0	4	3	0	5
KV2A7	0	0	0	0	0	0	0	0	2	0	4	0
K1958	0	1	1	0	0	0	0	1	0	0	3	0
PIWL4	0	0	0.989	1	0	0	0	0	0	1	0	0
FRMD1	0	0	3	0	0	0	0	4	0	0	0	0
GATA1	0	0	0	0	0	0	0	0	0	0	6	0
IGG2B	0	0	0	0	0	0	0	0	0	6	0	1.29
IGHG2	0	1	0	4	1	0	0	4	2	2.679	551.744	0
IGHG4	0	1.372	0	0	0	1	0	0	1.605	0	147.305	0
AT8B3	0	0	1	0	0	0	0	0	2	0	0	0
SPT20	0	0	0	1	1	1	0	4	7.512	1	0	0
OGDHL	0	0	1.916	0	0	0	0	0	2	0	2	0
IGE	0	0	0	0	0	0	0	0	0	0	0	0
IGHE	0	0	0	0	0	0	71	0	168	117.107	0	906.222
MACD2	0	1	0	0	1	1	0	0	6.676	0	0	0
TRPM2	0	0	4	0	0	0	0	4	1	0	7.186	0
F71F1	1	0	761.131	0	0	0	0	0	0	0	0	0
TRPV5	0	0	0	1	7	0	0	0	0	0	0	0
TRPV6	48	1	9	1	0	1.504	0	2	5	0	3	4
STAG3	0	0	1	0	0	0	0	0	0	0	3	1
CDK18	0	0	2	0	1	2	1	0	3	0	2.45	0
GBRP	0	0	8	1	0	0	0	3	1	0	0	0
CD158	0	0	3	0	4	1	0	2.799	0	0	6.764	0
PO2F2	0	0	0	0	0	0	0	0	0	0	0	0
TRFM	0	0	3	1	0	0	0	2	0	0	928.606	1
OR5DI	0	0	0	0	0	0	0	0	0	0	0	0
SPEGN	0	0	17	1	1	1	1.743	26	2	1	0	1
GPR84	0	0	0	0	0	0	0	0	0	0	0	0
NWD2	0	0	0	0	1	0	0	0	0	0	0	0
MEIKN	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ3	0	0	1	1	0	0	0	6	0	0	0	0
S4A10	0	0	0	0	0	2	0	0	2	0	7	1
DJC22	0	0	0	0	0	0	0	0	0	0	0	11.424
CCD62	0	9	4	0	0	2	0	0	6	1	2	0
NALD2	0	0	7.153	4.508	1.256	1	0	3	1	0	3	2
P2RY8	0	0	2	0	0	0	0	0	0	0	0	0
RA1L2	0	0	0	2	0	0	0	31.614	1	2	0	0
ROA1	1889.577	941.02	1226.598	614.118	373.544	236.771	125.95	31.614	4.159	546.696	881.898	566.743
ESCA	0	0	0	0	1	0	0	1.204	2	0	0	0
NET3	0	1	6	1	1	0	0	0	2	1	0	0
TA2R	0	0	0	0	1	0	0	4	2.783	2	0	0
TM221	0	0	0	0	0	0	0	1	0	0	4.262	0
PWP3B	0	2	2	2	1	0	1	0	1	0	2	0
TMM91	0	0	1.233	5	0	0	0	0	11.734	1	0	10.496
BRAF	189.267	4	3	8	29.167	0	29	12.976	18.239	38	47.57	4
RMIL	0	0	3	3	0	0	0	0	0	0	0	5
CFTR	0	0	237.275	0	0	0	0	106.44	2	0	4	1
IL21R	0	0	3	0	5	0	0	0	0	0	2.326	0
CASC1	0	0	7	0	0	0	0	10	1	0	0	0
ZFHX4	0	2	3	2	1	0	2	3	8	0	5	0
SHSA7	0	0	0	0	0	0	0	0	3	0	0	0
TRI67	0	0	0	0	0	0	0	0	0	0	0	0
AKAP5	0	1	1	0	0	0	0	0	0	0	2	0
S27A2	0	0	1	0	1	0	8	1	2	1	4	1
DMRT3	0	3	0	0	0	0	0	0	0	1	9	0
CFA69	0	0	2	2	0	0	0	2	5.691	2.664	0	2
TLR12	0	0	0	0	0	0	0	0	0	0	0	0
DMRTA	0	1	0	0	0	0	0	0	1	22	13.233	2
GBRG1	0	0	0	0	0	0	0	0	0	0	0	0
NOXO1	1	0	0	2	0	0	1	0	2	0	32.738	3
INSRR	0	4.857	0	35.613	0	1	0	0	2.373	0	0	7.012
CGRE1	1	54	28	3	13	0	0	27	7.978	171.145	1121.361	0
FBN2	0	1	0	0	0	0	0	0	4.987	0	8.118	0
RAD9B	0	5	2	0	0	0	0	1	6	6	0	0
FYB2	0	0	0	0	1	0	0	0	0	0	4.989	0
B3GT5	0	521.708	4	4	14	8	42.379	3	0	0	5	1
GCSP	0	2	9	0	0	0	0	0	0	0	4	1
CCNA1	0	1	8	0	0	1	0	0	4	1	9	1
IFM10	0	4	0	2	2	1	5	0	4.59	2	61.22	0
AOFB	0	168	62	0	2	0	0	2.06	215	12.486	13.093	31
TMM71	0	0	6	0	0	0	0	1	0	0	0	0
TMPS4	0	3	1.819	4.606	1.968	0	0	0	92.078	23.646	5	11.655
TEX45	0	0	0	0	0	0	0	0	0	0	0	0
LAMA1	0	0	1	0	0	0	0	0	0	0	0	0
UBB	36.049	29.161	3877.822	10.929	4895.637	34.317	911	1.647	177.898	1.017	4.001	1.995
UBC	36.049	29.161	3877.822	10.929	0	1.123	44.233	1.647	177.898	1.017	4.001	1.995
UBIQA	0	0	4	0	0	1	0	0	4	5	0	3
UBIQD	0	0	4	0	0	1	0	0	4	5	0	3
UBIQF	0	0	4	0	0	1	0	0	4	5	0	3
UBIQG	0	0	4	0	0	1	0	0	4	5	0	3
UBIQH	0	0	4	0	0	1	0	0	4	5	0	3
UBIQI	0	0	4	0	0	1	0	0	4	5	0	3
UBIQJ	0	0	4	0	0	1	0	0	4	5	0	3
DMBTL	2	1	1	1	0	0	0	5	2	0	5	0
ZCCHL	1	1	12	1	0	2	1	0	5	0	5	7
CFA70	0	0	0	8	0	0	0	2	0	0	0	0
IPSP	0	30	0	0	0	4	0	0	0	10	913.082	0
CD70	0	0	0	0	0	0	0	0	0	0	0	1
KCIP4	1	0	0	0	1	0	0	1	1	0	0	0
ZN343	0	0	0	52	0	0	0	0	0	1	0	0
PCDGL	1	1	6	0	1	0	0	3	0	0	3	0
REP15	0	1	2.283	0	4	0	0	8.512	70	2	2	0
IKBL1	0	0	0	7.559	0	1	3	0	0	0	0	9.391
O1002	0	0	0	0	0	0	0	0	0	0	0	0
NPAS4	0	0	0	0	0	0	0	0	0	0	0	0
CHD5	0	2	0	0	0	1	1	5	3	0	0	0
FGF5	0	0	2	0	0	0	0	0	0	0	0	0
ABEC4	0	0	0	0	0	0	0	1	1	0	2	0
SCN2A	1	0	1	0	0	0	0	1	2	1	2	0
NXPH4	0	1	1	2	0	1	0	2	0	0	0	0
IQUB	0	0	5	1	0	0	0	7	3	1	0	1
RBTN1	0	11	1.691	3	0	0	0	0	61	0	0	0
LRRN3	0	1	0	0	0	0	0	0	5	0	3	1
PAR4	0	0	0	0	0	0	0	0	0	0	0	0
ACT13	0	0	0	0	0	0	0	0	0	0	0	0
ACT6	0	0	0	2	0	0	0	1	0	1.001	3	0
ACTH	3	1874.106	4.649	2456.057	1.866	0	1	17	89.887	1	47.62	41
ACTM	895.29	390	11.686	55.449	8.184	867.937	38.115	0	0	1601.354	0	16.166
ACTN	0	4.264	11.686	55.449	1.866	867.937	54.547	0	0	0	16.451	0
ACTSA	0	390	11.686	55.449	11.521	867.937	0	1	23.974	1	0	0
ACTSB	3	4.264	4.649	55.449	1.866	867.937	0	24.766	0	1	16.451	0
ACTS	728.71	446.068	4.649	55.449	9105.4	8191.767	11369.827	1926.285	23.974	165.259	9	481.415
HS3S2	1	0	0	0	1.795	0	0	0	0	0	0	1
CNGB1	0	1	3	2	0	0	0	0	3	0	0	0
RABP1	0	0	2.862	6	24.849	21	0	18.024	10	10	2.031	3.182
SORC1	0	1	4	0	0	1	0	1	27.188	0	3	0
ESR2	0	0	2	0	0	0	0	3	0	1	4	0
ERBB4	0	0	0	1	0	0	0	2	1	2	6.557	2
CFA54	0	0	0	0	1	0	0	0	1	0	1	0
DLX6	0	2	0	0	0	0	0	0	0	0	0	1
5HT3C	0	0	0	5	0	0	0	2	40.227	0	0	1
I4E1B	0	0	0	0	0	0	0	2	7.243	0	82	0
MB211	0	0	0	0	0	0	0	0	0	0	0	0
ARMC3	0	0	0	0	0	0	1	1	0	0	0	0
OLIG2	0	0	0	0	0	0	0	1	0	0	0	0
GDF10	0	0	4	1	1	1.121	25	0	113	0	11	145
LHPL5	0	0	0	0	0	0	0	3	0	0	0	0
H6ST3	0	0	5	0	1	0	0	0	0	1	0	0
UBP51	1	0	5.882	1	0	2	4	2	3	0	3.497	0
SSPO	0	0	0	0	0	0	0	0	0	0	0	0
TOX3	0	0	0	0	0	0	0	5	3	1	170.564	0
PRR22	0	0	0	1	6	0	0	0	7.022	0	0	0
GDF5O	0	0	0	0	0	0	0	0	0	0	0	0
MCAF2	0	0	0	0	0	0	0	1	0	0	0	0
DSG1C	0	0	0	0	0	0	0	2	3	0	0	0
VACHT	0	0	4.613	0	0	1	0	1	0	1	0	0
UPK1B	0	171	280.13	2.101	53.31	343.995	559.152	5.41	14.538	35.363	2022.964	119
CNBD2	0	12	2	6	0	0	0	0	3	0	5	0
CCR10	0	0	2.001	0	1	0	0	7	17.02	0	9.721	2
TEX14	0	7	4	0	0	0	0	17.899	2	0	0	2
ECE2	0	0	0	0	0	0	1	0	0	2	2	1
EFCE2	0	0	0	0	6.948	1.161	1	0	0	0	6.998	1
VATB1	0	0	3	1	14	0	0	2	1	1	3	0
VATB2	459.403	557	157.151	71.123	297.781	232	574	125.293	1971	429	718	558.173
